         151132274 function calls (130869161 primitive calls) in 108.756 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   160386    0.151    0.000    0.151    0.000 {built-in method torch._C._get_tracing_state}
    27731    0.029    0.000    0.136    0.000 <__array_function__ internals>:2(copyto)
    26731    0.132    0.000    0.132    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
      940    0.004    0.000    0.115    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:1149(__str__)
      940    0.024    0.000    0.105    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:355(format_meter)
    22229    0.096    0.000    0.096    0.000 {built-in method numpy.zeros}
     1340    0.081    0.000    0.084    0.000 /home/kavi/thesis/SensorModel.py:80(create_partial_info)
     2820    0.002    0.000    0.076    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:333(disp_len)
     1100    0.010    0.000    0.073    0.000 /home/kavi/thesis/OraclePlanner.py:5(random_planner)
     2820    0.003    0.000    0.071    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:329(_text_width)
     2820    0.016    0.000    0.068    0.000 {built-in method builtins.sum}
     5318    0.002    0.000    0.067    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:143(inner)
   665792    0.057    0.000    0.057    0.000 {built-in method builtins.len}
      940    0.002    0.000    0.054    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:348(print_status)
     1340    0.049    0.000    0.053    0.000 /home/kavi/thesis/SensorModel.py:124(create_final_path_matrix)
     2816    0.053    0.000    0.053    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   190770    0.035    0.000    0.052    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:330(<genexpr>)
    26731    0.052    0.000    0.052    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     5144    0.005    0.000    0.050    0.000 /home/kavi/thesis/Robot.py:74(check_valid_move)
     1562    0.005    0.000    0.050    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:1440(moveto)
      157    0.003    0.000    0.045    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:846(__init__)
    14226    0.009    0.000    0.043    0.000 /usr/lib/python3.8/random.py:244(randint)
      314    0.001    0.000    0.036    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:1264(close)
     9080    0.036    0.000    0.036    0.000 {method 'count' of 'list' objects}
    14226    0.015    0.000    0.035    0.000 /usr/lib/python3.8/random.py:200(randrange)
    42952    0.023    0.000    0.033    0.000 /usr/lib/python3.8/copyreg.py:90(__newobj__)
      940    0.001    0.000    0.031    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:341(disp_trim)
   167258    0.029    0.000    0.029    0.000 {built-in method builtins.getattr}
   106924    0.027    0.000    0.027    0.000 {built-in method torch._C._has_torch_function_unary}
    19678    0.019    0.000    0.026    0.000 /usr/lib/python3.8/random.py:250(_randbelow_with_getrandbits)
    23085    0.024    0.000    0.024    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.024    0.024 /home/kavi/thesis/NeuralNet.py:76(__init__)
      940    0.002    0.000    0.023    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:342(fp_write)
   128160    0.023    0.000    0.023    0.000 {built-in method builtins.isinstance}
        5    0.000    0.000    0.023    0.005 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/init.py:360(kaiming_uniform_)
       10    0.023    0.002    0.023    0.002 {method 'uniform_' of 'torch._C._TensorBase' objects}
    16971    0.017    0.000    0.022    0.000 /home/kavi/thesis/Robot.py:152(get_action_loc)
        2    0.000    0.000    0.021    0.010 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:411(__init__)
        2    0.000    0.000    0.020    0.010 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:67(__init__)
        2    0.000    0.000    0.020    0.010 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:140(reset_parameters)
    42963    0.014    0.000    0.020    0.000 /home/kavi/thesis/./basic_MCTS_python/cost.py:8(cost)
    43892    0.019    0.000    0.019    0.000 {method 'update' of 'dict' objects}
    13998    0.012    0.000    0.019    0.000 /home/kavi/thesis/basic_MCTS_python/mcts.py:141(ucb)
    80193    0.019    0.000    0.019    0.000 {built-in method torch._C._has_torch_function_variadic}
    16238    0.018    0.000    0.018    0.000 /home/kavi/thesis/./basic_MCTS_python/tree_node.py:24(updateAverage)
     7071    0.013    0.000    0.017    0.000 {method 'format' of 'str' objects}
    48873    0.017    0.000    0.017    0.000 /home/kavi/thesis/./basic_MCTS_python/rollout.py:8(__init__)
   187950    0.017    0.000    0.017    0.000 {built-in method unicodedata.east_asian_width}
      250    0.006    0.000    0.016    0.000 test.py:89(communicate)
    11000    0.010    0.000    0.015    0.000 /usr/lib/python3.8/copy.py:66(copy)
    82992    0.012    0.000    0.012    0.000 {built-in method builtins.issubclass}
    62959    0.012    0.000    0.012    0.000 /home/kavi/thesis/./basic_MCTS_python/rollout.py:15(get_location)
     1000    0.001    0.000    0.012    0.000 /home/kavi/thesis/Robot.py:148(move)
     2816    0.012    0.000    0.012    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    62354    0.011    0.000    0.011    0.000 /home/kavi/thesis/basic_MCTS_python/mcts.py:26(get_location)
    54960    0.011    0.000    0.011    0.000 /home/kavi/thesis/Map.py:161(get_bounds)
     5452    0.003    0.000    0.010    0.000 /usr/lib/python3.8/random.py:285(choice)
    43111    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x908780}
       41    0.005    0.000    0.008    0.000 /home/kavi/thesis/Map.py:6(__init__)
     1000    0.008    0.000    0.008    0.000 /home/kavi/thesis/Robot.py:33(check_valid_loc)
    67004    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
    46105    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
    51443    0.007    0.000    0.008    0.000 {method 'remove' of 'set' objects}
     6597    0.006    0.000    0.007    0.000 /home/kavi/thesis/basic_MCTS_python/mcts.py:34(<listcomp>)
     1723    0.002    0.000    0.007    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:288(format_interval)
    20811    0.007    0.000    0.007    0.000 /home/kavi/thesis/Robot.py:67(get_loc)
    27731    0.006    0.000    0.006    0.000 /usr/lib/python3/dist-packages/numpy/core/multiarray.py:1043(copyto)
      940    0.005    0.000    0.006    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:1445(format_dict)
    42964    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
    19857    0.006    0.000    0.006    0.000 /home/kavi/thesis/basic_MCTS_python/mcts.py:19(__init__)
     1000    0.002    0.000    0.006    0.000 /home/kavi/thesis/Map.py:137(add_oracle_obs_free)
     1880    0.004    0.000    0.006    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:222(_is_ascii)
    13998    0.005    0.000    0.005    0.000 {built-in method math.log}
      157    0.001    0.000    0.005    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:583(_decr_instances)
     6597    0.005    0.000    0.005    0.000 /home/kavi/thesis/./basic_MCTS_python/tree_node.py:9(__init__)
    36565    0.005    0.000    0.005    0.000 {method 'getrandbits' of '_random.Random' objects}
     3912    0.004    0.000    0.004    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:233(__call__)
      157    0.001    0.000    0.004    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:560(__new__)
      157    0.002    0.000    0.004    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:282(_screen_shape_linux)
      940    0.003    0.000    0.004    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:188(__format__)
       11    0.004    0.000    0.004    0.000 {built-in method io.open}
     1411    0.002    0.000    0.004    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:104(acquire)
     1411    0.003    0.000    0.003    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:108(release)
    16540    0.003    0.000    0.003    0.000 /home/kavi/thesis/SensorModel.py:314(get_final_path)
       40    0.000    0.000    0.003    0.000 /home/kavi/thesis/Simulator.py:47(initialize_data)
    11000    0.003    0.000    0.003    0.000 {method 'copy' of 'list' objects}
        3    0.000    0.000    0.003    0.001 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/linear.py:75(__init__)
     1000    0.001    0.000    0.003    0.000 /home/kavi/thesis/Map.py:140(add_oracle_obs_occupied)
     2820    0.003    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
       10    0.003    0.000    0.003    0.000 {method 'close' of '_io.BufferedWriter' objects}
        3    0.000    0.000    0.003    0.001 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/linear.py:88(reset_parameters)
    19678    0.003    0.000    0.003    0.000 {method 'bit_length' of 'int' objects}
      314    0.000    0.000    0.002    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:1285(fp_write)
      157    0.001    0.000    0.002    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:576(_get_free_pos)
    11487    0.002    0.000    0.002    0.000 /home/kavi/thesis/./basic_MCTS_python/rollout.py:12(get_action)
     1083    0.001    0.000    0.002    0.000 /usr/lib/python3.8/_weakrefset.py:58(__iter__)
      783    0.002    0.000    0.002    0.000 {built-in method now}
      157    0.001    0.000    0.002    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:162(__init__)
      940    0.001    0.000    0.002    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:155(__init__)
     2646    0.002    0.000    0.002    0.000 /home/kavi/thesis/Map.py:128(euclidean_distance)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
      157    0.001    0.000    0.002    0.000 {built-in method fcntl.ioctl}
     9540    0.002    0.000    0.002    0.000 /home/kavi/thesis/SensorModel.py:317(get_final_other_path)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
       40    0.002    0.000    0.002    0.000 /home/kavi/thesis/Robot.py:213(add_simulator)
      157    0.000    0.000    0.002    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:579(<setcomp>)
      157    0.000    0.000    0.002    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:657(get_lock)
      628    0.000    0.000    0.002    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:112(__enter__)
    19740    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      628    0.000    0.000    0.001    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:115(__exit__)
        1    0.000    0.000    0.001    0.001 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:92(__init__)
        1    0.000    0.000    0.001    0.001 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:118(create_mp_lock)
     5001    0.001    0.000    0.001    0.000 /home/kavi/thesis/Map.py:146(get_unobs_occupied)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/multiprocessing/context.py:70(RLock)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:650(_load_unlocked)
      157    0.000    0.000    0.001    0.000 /usr/lib/python3.8/_weakrefset.py:106(remove)
     5000    0.001    0.000    0.001    0.000 /home/kavi/thesis/Map.py:143(get_unobs_free)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1882    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:502(load)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:842(exec_module)
     1562    0.001    0.000    0.001    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:319(_term_move_up)
     1411    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.001    0.001 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:836(_load)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.exec}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/multiprocessing/synchronize.py:11(<module>)
        9    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.001    0.001 {method 'load' of '_pickle.Unpickler' objects}
        1    0.001    0.001    0.001    0.001 /usr/lib/python3.8/multiprocessing/synchronize.py:360(Barrier)
     5000    0.001    0.000    0.001    0.000 /home/kavi/thesis/Robot.py:192(get_sensor_model)
     3146    0.001    0.000    0.001    0.000 {built-in method time.time}
      157    0.000    0.000    0.001    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:329(status_printer)
     4386    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
      314    0.000    0.000    0.001    0.000 /usr/lib/python3.8/_weakrefset.py:26(__exit__)
       10    0.000    0.000    0.001    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:848(persistent_load)
      157    0.000    0.000    0.001    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:215(_supports_unicode)
       23    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       10    0.001    0.000    0.001    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:841(load_tensor)
     1000    0.001    0.000    0.001    0.000 /home/kavi/thesis/SensorModel.py:335(set_final_other_path)
     1412    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
      940    0.001    0.000    0.001    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:57(__init__)
     1040    0.000    0.000    0.001    0.000 /home/kavi/thesis/SensorModel.py:308(append_score)
      157    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:74(__eq__)
     2658    0.000    0.000    0.000    0.000 /home/kavi/thesis/./basic_MCTS_python/tree_node.py:29(get_coords)
      157    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:105(__init__)
