         151132274 function calls (130869161 primitive calls) in 108.756 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:322(register_parameter)
       40    0.000    0.000    0.000    0.000 /home/kavi/thesis/SensorModel.py:6(__init__)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/parameter.py:23(__new__)
        4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       40    0.000    0.000    0.000    0.000 /home/kavi/thesis/Simulator.py:17(__init__)
        5    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/init.py:122(uniform_)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:241(__init__)
       10    0.000    0.000    0.000    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
        5    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/init.py:12(_no_grad_uniform_)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1644(eval)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/init.py:278(_calculate_fan_in_and_fan_out)
      6/1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1622(train)
      158    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:513(is_set)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       20    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:124(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tempfile.py:272(rng)
        5    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/init.py:350(_calculate_correct_fan)
       40    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:213(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       20    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:128(__exit__)
      157    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:1300(<lambda>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:761(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       20    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:119(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/random.py:94(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/random.py:123(seed)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tempfile.py:286(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:228(_open_file_like)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
       40    0.000    0.000    0.000    0.000 /home/kavi/thesis/Robot.py:207(add_map)
        1    0.000    0.000    0.000    0.000 test.py:21(get_random_loc)
       11    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1521(children)
       20    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C._TensorBase' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:210(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
       40    0.000    0.000    0.000    0.000 /home/kavi/thesis/SensorModel.py:305(append_action_matrix)
        4    0.000    0.000    0.000    0.000 /home/kavi/thesis/Robot.py:4(__init__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f4d944e61f0}
        5    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/init.py:67(calculate_gain)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:45(_is_zipfile)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:505(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
        3    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:873(find_class)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       40    0.000    0.000    0.000    0.000 /home/kavi/thesis/Robot.py:70(set_loc)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/util.py:171(register_after_fork)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/copyreg.py:99(_slotnames)
       11    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1530(named_children)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:173(default_restore_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       60    0.000    0.000    0.000    0.000 {built-in method torch._C.is_grad_enabled}
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        2    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/utils.py:20(_reverse_repeat_tuple)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       62    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:222(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.000    0.000 /home/kavi/thesis/Map.py:104(check_loc)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       40    0.000    0.000    0.000    0.000 /home/kavi/thesis/SensorModel.py:320(get_final_partial_info)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       15    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1134(remove_from)
       20    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:803(_maybe_decode_ascii)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:159(__setitem__)
       40    0.000    0.000    0.000    0.000 /home/kavi/thesis/Robot.py:210(add_sensor_model)
       76    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       40    0.000    0.000    0.000    0.000 /home/kavi/thesis/SensorModel.py:329(get_final_path_matrices)
       21    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {function _load.<locals>.UnpicklerWrapper.find_class at 0x7f4d39237310}
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/parameter.py:129(is_lazy)
       40    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:213(__exit__)
       20    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
       40    0.000    0.000    0.000    0.000 {built-in method torch._C._set_grad_enabled}
        6    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1314(<dictcomp>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:889(_is_torchscript_zip)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       10    0.000    0.000    0.000    0.000 {method 'storage' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
       20    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:210(Condition)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/utils.py:26(<genexpr>)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:392(__subclasshook__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:252(__subclasshook__)
       24    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:46(SemLock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:1306(current_thread)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/_utils.py:158(_validate_loaded_sparse_tensors)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       20    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/_jit_internal.py:881(is_scripting)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:126(_cpu_deserialize)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:1177(_make_invoke_excepthook)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:246(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.000    0.000 test.py:151(<listcomp>)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/storage.py:13(__init__)
        2    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:199(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:323(__new__)
        7    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        9    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:1110(daemon)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:261(_is_owned)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:328(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:249(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/context.py:233(get_context)
        6    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1312(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:734(_newname)
        2    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        6    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        5    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        2    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
       12    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:349(__subclasshook__)
        3    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:255(_release_save)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:271(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:869(UnpicklerWrapper)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:90(_make_methods)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:1095(daemon)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:193(_is_path)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:321(Event)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:123(Semaphore)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:314(_check_dill_version)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        3    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:258(_acquire_restore)
        1    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        4    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/context.py:197(get_start_method)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:100(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/util.py:48(debug)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:815(_get_restore_location)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:159(Lock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:142(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/process.py:37(current_process)
        2    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:202(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:184(RLock)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/serialization.py:205(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}


